Please specify your campus,Please specify your programme,1 - Did the class meet your expectations?,Please share your comments,2 - Was the professor's quality of expression good?,Please share your comments,3 - Was the class content clearly expressed?,Please share your comments,4 - Did the professor answer your questions clearly?,Please share your comments,5 - What do you think of the class difficulty?,Please share your comments,6 - What did you most appreciate about the professor's class?,7 - What did you least appreciate about the professor's class?,8 - What are the main take-aways (what did you learn)?,9 - Did the professor explain why the class is important for the DSTI programme?,Please share your comments,10 -  Is there anything you would have liked to have seen during the class that wasn’t covered?,"11 -Thank you for your reply, if you have any other comment please state them below"
Sophia,Applied MSc in Data Science & AI,"Yes, partially",I would have preferred having more time dedicated on learning R,"Yes, absolutely",,"Yes, partially","Sometimes too fast to be able to take notes... I had to print in advance the course to be able to follow, otherwise we did not have time to copy what was on the board.","Yes, partially",,Average,,the concrete exercises and cases,"sometimes too fast, especially on the last chapter (convergence)",setting up correctly a (simple) problem dealing with random variables and probabilities,"Yes, absolutely",,basics of R programming,
Paris,Applied MSc in Data Science & AI,"Yes, absolutely",Good class,"Yes, partially",,"Yes, absolutely",,"Yes, absolutely",,Average,,Good examples and exercises,"Sometimes, the teacher switches too fast between slides and examples, and comes back to slices, then to examples, etc. ","Independent variables, covariance and correlation","Yes, absolutely",,combinatories,
Paris,Applied MSc in Data Science & AI,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,,He explained slowly and clearly the terms,Nothing,"I learned and re-caught some basic concepts about statistics, which I already forgot before the class","Yes, absolutely",,No,
Off-campus,Applied MSc in Data Science & AI,"Yes, partially",More corrected exercises would have been good,"Yes, absolutely",Good english,"Yes, absolutely",The syllabus is clear,"Yes, absolutely",,Hard,"Hard for me because statistics is a new subject, but I guess it was not too deep on this subject for people who knew it",Well structured slides,"Timing! It was 10am to 1pm and then 2pm to 4pm, but indicated 10am to 12:30 and 1:30pm to 4pm on the schedule. The lunch break translation is complicated to manage when confined, with a family. We should be prevented before!",A lot of things! All about random variables,"Yes, absolutely",It is evident that statistics and probabilities are essential for a Data Scientist.,"More corrected exercises, with slow and guided correction.",
Paris,Applied MSc in Data Science & AI,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,It got harder and harder at the end!,Clear and concise course. Very well illustrated and well explained.,Too many fundamental/basic exercices given without being corrected or only theory without exercices.,"Probability, Statistics, Random Variable theory, convergence....","Yes, absolutely",,No,
Paris,Applied MSc in Data Science & AI,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,,already replied in a previous survey ,already replied in a previous survey,already replied in a previous survey,"Yes, absolutely",,already replied in a previous survey,"I would have liked to change a previous answer (in the negative points) so I redo this survey, specifying that almost every time, the theory was illustrated with examples. Please accept my apologies for the duplicate"
Off-campus,Applied MSc in Data Science & AI,"No, it wasn't clear",It was sometimes going too fast and i was expecting to learn R in parallel which was not the case. It seemed like we had to know R before starting the course,"Yes, partially",,"No, it wasn't clear",I found the last parts of the class really rushed and i had to work a lot after class just to understand what we saw earlier so i had no time to do exercices. ,"Yes, partially",,Hard,,The statistics is a really attractive subject,"some parts of the class, the most theorical ones, were rushed","Descriptive analysis, distributive probabilites, random variables and random vectors...","Yes, partially",,Not really assuming the rest is coming in other parts of the course,
Paris,Applied MSc in Data Science & AI,"Yes, partially",When the professor used R to exemplify it was a better learning experience.,"Yes, partially",Sometimes he could have been clearer.,"Yes, partially",The slides were good .,"Yes, absolutely",The question I asked was perfectly explained.,Average,"The subject is not complex , for me most of it was remembering some points.",His knowledge about the subject.,Some of the professor explanations were a bit confusing.,"Conditional probability  , random variables , probability density functions .","Yes, absolutely",,"More R , but it should be present in part 2.",
Sophia,Applied MSc in Data Science & AI,"Yes, partially",i honestly didn't understand everything ,"Yes, partially","he was a bit in a hurray , maybe because the subject is too vast , I couldn't take notes and keep up","No, it wasn't clear","I found it lacking enthusiasm , a bit boring ","Yes, absolutely",,Hard,too many equations !,a lot of sources i can go back to,"the pace is too fast , he seemed only want to finish on time ,  and the teaching style was lacking enthusiasm , I fell a sleep alot .",probability and statistics ,"Yes, partially",,more exercises on the equations ,
Sophia,Applied MSc in Data Science & AI,"No, it wasn't clear","Personally I found the way the class was taught quite abstract and cryptic. I was expecting a point of view more conceptually visual (with this I mean based on real examples rather than a series of slides displaying the theoretical part black over white with coins and dices examples from time to time). From this point of view, I was left with a feeling of missed chance of having an introduction to statistics and probability focused on Data Science / Engeneering /Analytics from someone with experience in the sector. Instead, I was left with the feeling of have had a standard cryptic class that you would find in any undergraduate program without further ambitions of really soak deeply into the students.","Yes, partially","His English was good and his explanations about the topics were okay. However, I felt like many times he avoided getting into examples or sometimes he just read equations instead of trying to explain the concepts behind.","No, it wasn't clear","Personally I feel like statistics and probability are subjects that hold strong intuitions behind that are only perceived by facing examples and exercises, however the content was mainly explained from a rather aseptic theoretical point of view.","Yes, partially",The questions raised in class were answered with no further problem.,Hard,"As I said, I think the way the class was conceived and taught made the concepts harder than they actually are. ","The fact that the reference book was left on Moodle and the script about the eggs problem also uploaded to moodle, I had fun toying around with it on my own. ","The way of presenting the subject and teaching the class, as described in the previous comments.","I feel like a have a good take away of the statistic and probability concepts explained, but mainly after taking the time of translating them from the way they were presented into the concepts they hold on my own.","Yes, partially","Yes, he insisted on how many concepts fit on the upcoming statistical inference classes among others.","Yes. Principally the probability distributions. It was a bit confusing to start talking about geometric distributions for example without having presented them (Poisson, binomial, Bernouilli appeared in some examples but were not properly introduced). Also I feel like as we talked about random sampling and the CLT, it was the moment to introduce sampling techniques as Bootstraping for example.","I think it was really discouraging the teacher's approach towards many topics, as ""I am sorry they are this arid but this is the way it is"". Honestly I think the main value added by a teacher is making the class content more approachable and understandable, hearing him present this excuse before facing many topics leaves you with the feeling that he did not really try, specially after having to check other resources to understand the topics after class and finding them much better explained in other sites."
Paris,Applied MSc Data Analytics,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, partially",,Average,,"The overall flow of knowledge brought throughout the course, but mainly his use of R studio and the way to apply what we learned in R studio","His handwriting may be, but mainly the pace, sometimes he didn’t quite left us time to fully understand what he meant","ECDF, different indexes, how to graphically represent it on R studio, dealing with uncertainty, what is a sample space, conditional probability, and I am currently processing all we have learned about random variables.","Yes, absolutely",,My lack of knowledge of R might have make it harder to follow during the class (especially considering the pace of Antonio) but it was nevertheless a real pleasure to see someone experienced using it. ,
Off-campus,Applied MSc in Data Science & AI,"Yes, absolutely",Good mix of Theoretical material and practical examples,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,,"Explanations and examples, uploaded documents on the moodle were very clear","When he says ""'we are going to take a break"", that actually mean ""after i start the next chapter and we do some exercises, we will have a break, so in half an hour"" :-)  However, the time of the breaks have always been strictly the same.","Everything we have to know ranging from ""what is a random variable"" to all main laws about most common distributions and on top of them the ""central limit theorem""","Yes, partially",,I don't think we can add some topics in this one week course,
Sophia,Applied MSc Data Analytics,"Yes, absolutely",Most of the topics were linked to real applications with clear examples,"Yes, absolutely",He tried as much as possible to represent his expressions with diagrams for easy understanding,"Yes, absolutely",He was very explicit and always motivate the class ahead about every topic to be addressed,"Yes, absolutely",He wouldn't mind to go back and explain over and over again if something is not clear,Average,,Live examples and motivation before every topic,He can be too fast to catch up with sometimes,"Analysis of Statistical data to real life Scenerio in decision making
Application of Probability theory","Yes, absolutely",,Nothing in particular,The 'R' programming language should have been taught before the class so that the students that had no background of that would be able to follow the examples easily
Sophia,Applied MSc in Data Science & AI,"No, it wasn't clear",I did not understand  much of the content.,"No, it wasn't clear","The explanation was not clear to me, it was over complicated thought when I went to study alone from external resources it was easier for me. 

Also the handwriting was rather unclear also the voice.","No, not at all","It was over complicated, the explanation was not clear to me, it was over complicated thought when I went to study alone from external resources it was easier for me. 
","No, it wasn't clear","my questions were not answered which is few, maybe the teacher didn't look at the chat though later one he was answered the orally asked questions.",Very hard,"The content suppose to be easier than this to follow, but this class was over complicated to me.","The books, notes, exercises.","Voice, Handwriting.","Descriptive Stats, probability theory. ","No, it wasn't clear","I asked my colleague why we need all this class and certain topics and their explanation were more clear, for the professor I didn't ask as there were no time and the lectures were overloaded, and I don't recall he explained why we need the topics, or many I didn't understand if he did so.","the class was overloaded with short period of time already, so I couldn't keep up with current content, so the answer is no.","I have learnt by myself in less time than I learnt in the class, which is a big red flag.

And the problem we don't have time to study alone with overloaded schedule."
Paris,Applied MSc in Data Science & AI,"Yes, absolutely","Maths is little difficult for me, I have to work on that","Yes, absolutely",,"Yes, absolutely","I find some disconnects, may be because I have not touch match in last 10 years","Yes, absolutely",,Hard,"I am new to DS, I have so many concepts top learn",Knowledge depth in subject,"little fast and hovering between the slides, black board sometime confuse.",sample space analysis,"Yes, absolutely",,can't think of now,
Off-campus,Applied MSc in Data Engineering for AI,"Yes, partially",The presentation was not of the quality expected.,"Yes, partially",The professor was not able to clearly express his content.,"No, it wasn't clear",No. Content were not clearly expressed.,"Yes, partially",He showed excellent knowledge of the subject.,Hard,Inadequate presentation and quality made an otherwise easy subject difficult.,Time keeping.,Presentation of content.,Summary of statistics.,"Yes, partially",He explained why the class in needed for DS students.,Nothing.,"Perhaps, the professor should be made to present on the board rather than mostly reading from a manual."
Sophia,Applied MSc Data Analytics,"Yes, partially",,"Yes, partially",,"Yes, partially",,"Yes, partially",,Hard,,It's fair,"His method of explanation is kind of too fast, considering there are some students like me that didn't major in statistics and are just getting to know more about the course.",Frequency distribution ,"Yes, absolutely",,More of black board usage would help.,
Off-campus,Applied MSc Data Analytics,"Yes, partially","The professor was very knowledgeable in the topics of the course. He was willing to explain multiple times anything that any student found hard to grasp. The presentation of the course was at times a little unorthodox in the sense that we were jumping between examples and theorems too fast. However, the professor didn't have a problem to slow down when he was asked by a student.","Yes, absolutely",,"Yes, partially","Some topics, being a little too theoretical required more personal research by the student in order to understand them fully. Overall, though, the professor did a great job in explaining everything thoroughly and emphasizing the importance of each topic.","Yes, absolutely",,Average,,The professor's willingness to provide further explanations and examples to make sure that all students understand the course.,"Although R was used only in the first day, the professor didn't go into much detail while presenting the commands and the statistical tools of the language. Thus, students who are beginners in R (the majority if I'm not mistaken) found it hard to follow along.","Descriptive statistics, random variables (continuous and discrete), expected value, variance, covariance, central limit theorem, law of large numbers.","Yes, absolutely",,More applications using R.,
Sophia,Applied MSc in Data Science & AI,"No, it wasn't clear","no, I was expecting it in more details.","No, it wasn't clear","Simple concepts were explained in difficult way eg: mean, median ","No, it wasn't clear",Mostly Random variable  part was not explained well.,"No, it wasn't clear",,Hard,Bit Unsure here as it was difficult to understand concepts at his level.,nothing,Abstract level concept explanation's,nothing for now.,"Yes, partially",,More details on concepts.,"FSML part1, I hardly understood the way prof. explained things. I am quite worried about FSML part-2. Prof. is knowledgeable but his teaching is quite at high level. It was felt like if you already know all the concepts then attend his class for high level revision. I am sorry to put things this way but that's how I felt. I hope FSML part-2 improves."
Off-campus,Applied MSc Data Analytics,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,,The professor was cool about everything,None,"I learned a lot, the class was taught well in Interesting.","Yes, absolutely",,"None
",
Paris,Applied MSc in Data Science & AI,"No, it wasn't clear",,"No, not at all",,"No, it wasn't clear",,"No, it wasn't clear",,Hard,,"he is an expert, he knows alot",he can't teach meaning his ways of trying to pass the knowledge is unsatisfactory.,Probability is a big subject I have to learn.,"Yes, absolutely",,I would really love the class to be repeated or have a summarized and detailed explanation on it from other teacher who has an experience in teaching. ,
Paris,Applied MSc Data Analytics,"Yes, partially",,"Yes, partially",,"Yes, absolutely",,"Yes, partially",,Average,,Pr Di Narzo is very engaging and knowledgeable  ,"his teaching pace is sometimes quite fast, thus  hard to follow","Probability , Bayes theorem, descriptive statitic,","Yes, partially",,"under the DA's point of view, I would like to have more lessons in the statistic than only probability ex: distribution, test, PCA... because it's an important part of Data Analysis to understand and interpret the trend of data and it will be taught only in the FSML part 2.",
Off-campus,Applied MSc Data Analytics,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,,range of topics,depth of the topics,"reviewed main concepts for prob and stat, will be helpful during the interviews","Yes, absolutely",,no,
Off-campus,Applied MSc in Data Science & AI,"Yes, absolutely",This class covers many topics which are the foundations of statistics. I've studied them before but it is really interesting to learn them from a different perspective. ,"Yes, absolutely","I think his way of teaching is somewhat particular. Personally, I like his way of teaching since he introduces details of each topic, which deepens my knowledge of statistics. He is profound and professional in this domain. On the other hand, his deep knowledge might be confusing for those who have no idea about this study. 
That being said, he kindly suggests how to absorb new concepts and emphasize the importance of having a firm idea of them, which are definitely helpful. I learn very much from his class whatsoever other people say about him.","Yes, absolutely",,"Yes, absolutely",,Average,It would be interesting if Bootcamp has few days spared for statistics foundation. Some topics are counter-intuitive and could be daunting for beginners,His deep insight and unique approach to each topic. This cannot be done without being in this domain for a long enough. I admire his knowledge,Not really. ,Statistics foundation and its application with R,"Yes, absolutely",,Not really,
Sophia,Applied MSc in Data Science & AI,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Hard,,The professor took his time to best explain the value of things and how it related to the field. ,"Nothing, the professor was passionate and very capable of answering questions.",I learned the workflow required for trying to analyse data and processes I might take to this end.,"Yes, absolutely",,Not at this time no.,
Off-campus,Applied MSc in Data Science & AI,"Yes, partially","I tried on my own to learn some statistics and probability, but this course introduce those tools with a much more logic progress ! However, the course was very often too fastly presented.","Yes, absolutely",No more comments.,"Yes, absolutely",The course followed the support slides.,"Yes, absolutely",All the questions have been answered.,Very hard,Very hard because course was fastly presented and the transition from slides examples to black board examples also very rapid,The logical progression in the concepts of statistics.,The too much fast pace.,"Probability results (Bayes theorem, independance), single and multiple random variables (CDF, PMF and PDF and Chebychev inequality), random samples and statistics on it, and finally the numbers law ","Yes, partially",He explained that those concepts were bricks of more complex tools which we will discover.,"No, but I didn't really know the statistics. ","I would have prefered maybe less examples, but treated more slowly in order to have enough time to ask myself questions, and not just agree with the professor."
Off-campus,Applied MSc in Data Science & AI,"Yes, absolutely",,"Yes, absolutely",,"Yes, partially",,"Yes, partially",,Average,,"Fluent English.
Course well structed, logical progression of the chapters/topics.
Reference to a very good textbook.","Quite fast-paced: the teacher obviously knows his topic and explains it very fast, sometime a little bit too fast...
Not enough practice exercises to make sure we understand the concepts described in class (and the textbook only gives some answers to some exercises but without detailed explanations of how to get to the result...)",Random Variables and Multiple random Variables,"Yes, absolutely",,"Revision of basic probability and statistics before starting with the more complex topics: maybe could be done during the Bootcamp (during the Bootcamp we only did a little bit of combinatorics, no probabilities nor statistics).",
Off-campus,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, absolutely",,"Yes, partially",I did not understand R as I would like to,"Yes, absolutely",,Average,,He knew his topic and was clear ,Anything,"I learned statistic, probability and the basic of R","Yes, absolutely",,I would like to learn more in R,
Off-campus,Applied MSc in Data Science & AI,"Yes, absolutely",Yes the Class really met my expectation. It was an adventure of a lifetime,"Yes, absolutely",The professor's quality was very phenomenon and and a  world class professors. It is the best class I have ever attended.,"Yes, absolutely",The content of the class was clearly express in detailed.,"Yes, absolutely",Yes the question were answered in detailed.,Average,I will rate the class duifficulty as average.,They are world class professors and they know what they teach,Not applicable,I have learnt a lot as compared to my previuous education.,"Yes, absolutely",Yes the importance of the class was explain deligently to my understanding.,Everything was satisfy,Not appplicable
Off-campus,Applied MSc Data Analytics,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Hard,,Good explanation of the theory.,"Class was very fast. Even if you have a background in Statistics, it was'nt obvious.",Another approach for dealing with statistics,"Yes, absolutely",,RAS,
Paris,Applied MSc in Data Science & AI,"Yes, absolutely",I think we got most of the important concepts and formulas to be ready enough for FSML 2,"Yes, absolutely","Perfect (sometimes I misheard some words, but that's because of my level of English:) because at moments he spoke fast)","Yes, absolutely","Yes, everything was clearly explained and the slides were pretty clear too","Yes, absolutely","Yes, he took pertinent examples to answer the questions",Average,Many many concepts to memorize and have to know how to play with them without mistake,"The architecture of the course was good, that was concise, the slides were clearly written, and the examples were pertinent","Some of the examples.. such like ""The probability you have HIV"", ""The probability you have breast cancer"" etc... I started to feel dizzy at a moment after combo of these kind of examples... ","Which formula(s) to use for which kind of case, Scripts in R","Yes, partially",Yes but a bit more would have been nice,"I have no idea, I think it's enough. Also there's still one session left for FSML1",It was nice !
Sophia,Applied MSc in Data Science & AI,"Yes, partially",,"No, it wasn't clear","- Very bad handwriting
- Language was not clear
- Most of the time, he was just reading form slides and move to another without 
  giving a clear example or sometimes reads the example and move on.  
- Jumping between theory blackboard, examples and R, which made me very 
  distracted

Noting that I 'm very familiar with the contents of this course before, the quality of expressions made things that I used to know before not clear anymore!
","No, it wasn't clear",,"Yes, partially",,Average,,The content of the class is very useful in real life,"- The distraction with theory, slides, examples, blackboard, R
- Should be moving gently between all of these; first, theory then step by step 
  examples on black board, then R
- Regarding the MCQ I did not understand why there are (-2) points for the wrong 
  answer!",Continuous Random Variables is a new topic for me,"Yes, partially",,no,
Paris,Applied MSc in Data Engineering for AI,"Yes, partially",,"Yes, partially",,"Yes, partially",,"Yes, partially",,Average,,He was punctual ,The note board wasn’t clear enough.,Statistics ,"Yes, absolutely",,No,
Sophia,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, partially",,"Yes, partially",,"Yes, partially",,Hard,,Emphasis on practice problems,"The professor didn't work out all the examples, he used, while teaching","Basic descriptive statistics, conditional probability, random variables","Yes, absolutely",,N/A,
Paris,Applied MSc in Data Science & AI,"Yes, partially",Important subject ,"No, it wasn't clear",Problem with the pedagogy. Lack of the explanation on the black board,"Yes, partially",,"Yes, partially",,Average,,He did the preparation of the course ,lack of pedalogy,i retaiend that the subject is important for Data Scientist,"Yes, partially",,more explanation with many exercices,
Paris,Applied MSc in Data Science & AI,"Yes, absolutely",It was a great course even if one last day was separated from the rest ,"Yes, absolutely","Professor speaks clearly and is using funny phrases sometimes, like “easy peasy”, “brain fart” etc it adds flavor to the lectures ","Yes, partially","Sometimes I had an impression that professor explained simple things in a difficult way, although his habit of making recaps is excellent and helps to understand if we didn’t from the first time","Yes, absolutely",Professor always took time to answer questions whether they were in the chat or vocal,Average,"I find the topic itself interesting, so I read myself apart from classes. I’m glad we practiced a lot during the course and professor gave us a lot of material as well as problems to solve. ",I dearly appreciated the recap habit of Professor Di Narzo. Monty Hall problem explanation :) The fact that he gave us a sample exam and walked us over all the exercises with explanations. This is priceless. ,Unfortunately it was hard first days to keep up with professor because of constant jumping from presentation into R Studio and back and forth. Sometimes it was too fast but he did slowed the pace once we asked him ,"I learned basic statistics terms and graphs, mainly we were dealing these days with probability theory: expected value, sample set, events, random values, stochastic processes etc","Yes, absolutely",Yes Professor has even shared with us some information in bio project he is working on ,I wouldn’t add anything else ,Thank you!
Sophia,Applied MSc Data Analytics,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,,The numerous exercices made in class ,Nothing ,"Basics of descriptive statistics, and then probability theory with random variable and multiple variable courses ","Yes, absolutely",,More statistics/probability cases/Exercices on R/Python,
Paris,Applied MSc in Data Science & AI,"Yes, absolutely",The class did cover everything about probability,"Yes, absolutely",The professor was very clear,"Yes, absolutely",The content expression and order was very good,"Yes, absolutely",The professor answered all questions,Average,The class content is easy but may have hard applications if the professor wants to,The professor is excelllent in explaining,Nothing,Probabiloty in english,"Yes, absolutely",Its important fir fsml part 2,No,
Sophia,Applied MSc in Data Science & AI,"Yes, absolutely",,"Yes, partially",,"Yes, absolutely",,"Yes, absolutely",,Average,,The class is very practical with real life cases,The descriptive statistics part was shorter,"I understood both  principles and  how to compute probabilities 
","Yes, absolutely",,Nothing special, 
Off-campus,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, partially",,"Yes, partially",,"Yes, partially",,Average,,Explanations was clear,Anything,Statistics concept and probabitlity,"Yes, partially",,May be more on the topic,
Paris,Applied MSc Data Analytics,"Yes, partially",Class was good but need some exercise sheet so that we can practice,"Yes, absolutely",professor's quality of expression was good,"Yes, partially","Yes, but the noted provided should have more theoretical portion so that we don't have to listen to the recorded video ","Yes, absolutely",Professor answered all the doubts clearly.,Average,"I am facing issue with the exercises, maybe will get clarity after practicing more",Professors way of explanation was nice and in good pace.,we should be provided with the exercise with explained solution so that we can build our confidence towards the subject. ,"I learned probability theory, random variables etc","Yes, absolutely",Professor explained the purpose of the subject.,It's just the notes and the exercise sheet.,
Paris,Applied MSc in Data Science & AI,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,It was clearer at the end for me (thanks to the possibility of having time to repeat the whole course between the two sessions),Very good illustrating examples,Nothing in particular.,"Multiple Random Variables, Convergence, Probability theory, Stochastic processes, Illustrations in R","Yes, absolutely",,Nope,I am not sure I sent my survey the first time. So I prefer do it again. 
Off-campus,Applied MSc in Data Science & AI,"Yes, partially","The professor was very knowledgeable, he explained all the concepts and gave lots of examples which I found helpful. The only thing I found confusing was he didn't follow the slideshow in order, sometimes skipping slides and going back and forward which was a bit confusing, also sometimes introduced concepts and explained them before saying we did not need to know it. ","Yes, absolutely",I found the professor clear and easy to understand. ,"Yes, partially","Yes all the concepts introduced were well explained, as aforementioned my only issue was the structure and ordering of the class being disorganised.","Yes, absolutely",Yes questions were always answered in detail.,Average,"Some parts were easy and trivial,  and others were significantly harder so overall average.",The numerous examples given helped understand the concepts better.,The jumping back and forward between topics.,Better understanding of probability theory.,"Yes, partially",Was mentioned how we would use the subject being taught in later modules.,No.,
Off-campus,Applied MSc in Data Engineering for AI,"Yes, partially",,"Yes, partially",,"No, it wasn't clear",,"Yes, partially",,Hard,,The practise sessions,The content wasn't clear,I got to appreciate statistics,"Yes, absolutely",,N/A,
Paris,Applied MSc in Data Science & AI,"Yes, partially",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Average,,I appreciated his real life application additions.,"I thought that it was a bit slow, but I also have much statistics experience.","I enjoyed the theoretical and real life applicability to the concepts of the course, as a new way of seeing statistics to expand the knowledge I already had.","Yes, absolutely",,No,
Off-campus,Applied MSc in Data Engineering for AI,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,"Yes, absolutely",,Hard,,Quality,Sometimes hard to understand theory-based maths concepts,Distinct approaches in Statistics,"Yes, partially",,.,
