,machine-learning,rating
15,"Everything is great about this course. Dr. Ng dumbs is it down with the complex math involved. He explained everything clearly, slowly and softly. Now I can say I know something about Machine Learning",5
16,"My first and the most beautiful course on Machine learning. To all those thinking of getting in ML, Start you learning with the must-have course. Thanks Andrew Ng and Coursera for this amazing course.",5
17,Very helpful and easy to learn. The quiz and programming assignments are well designed and very useful. Thank Prof. Andrew Ng and coursera and the ones who share their problems and ideas in the forum.,5
18,"Fantastic intro to the fundamentals of machine learning. If you want to take your understanding of machine learning concepts beyond ""model.fit(X, Y), model.predict(X)"" then this is the course for you.",5
19,Andrew Ng is a great teacher.,5
20,This course is one of the most valuable courses I have ever done. Thank you very much to the teacher and to all those who have made it possible! I will recommend it to all those who may be interested.,5
21,Exceptionally complete and outstanding summary of main learning algorithms used currently and globally in software industry. Professor with great charisma as well as patient and clear in his teaching.,5
22,"Great overview, enough details to have a good understanding of why the techniques work well. Especially appreciated the practical advice regarding debugging, algorithm evaluation and ceiling analysis.",5
23,"Very good coverage of different supervised and unsupervised algorithms, and lots of practical insights around implementation. All the explanations provided helped to understand the concepts very well. ",5
24,This is the best course I have ever taken. Andrew is a very good teacher and he makes even the most difficult things understandable.,5
25,"Great overview, enough details to have a good understanding of why the techniques work well. Especially appreciated the practical advice regarding debugging, algorithm evaluation and ceiling analysis.",5
26,Great course. A progressive discovery of the maths inner to the learning algorithms. This course gives that insight many ML practitioners don't have and is so important for making real use cases work.,5
27,It would be better if it would have been done in Python,4
28,"Overall the course is great and the instructor is awesome. Machine learning is fascinating and I now feel like I have a good foundation.  A few minor comments: some of the projects had too much helper code where the student only needed to fill in a portion of the algorithm.  I would have preferred to have worked through more of the code. Also, there were a few times when the slides didn't contain the complete equations so it was difficult to piece it all together when writing the code.  Lastly, I wish that there was more coverage on vectorized solutions for the algorithms.",4
29,"This is an extremely basic course. Machine learning is built on mathematics, yet this course treats mathematics as a mysterious monster to be avoided at all costs, which unfortunately left this student feeling frustrated and patronized. So much time is wasted in the videos with arduous explanations of trivialities, and so little taken up with the imparting of meaningful knowledge, that in the end I abandoned the videos altogether. The quizes were basic (largely based on recall of, rather than application of knowledge), as were the programming assignments (nearly all of which were spoon-fed, with the tasks sometimes being simple as multiplying two matrices together).",1
30,"I've never expected much from an online course, but this one is  just Great!",5
31,I am Vietnamese who weak in English. To learn this course I have to choose playback rate 0.75.,5
32,Excellent starting course on machine learning. Beats any of the so called programming books on ML. Highly recommend this as a starting point for anyone wishing to be a ML programmer or data scientist.,5
33,It is the best online course for any person wanna learn machine learning. Andrew sir teaches very well. His pace is very good. The insights which you will get in this course turns out to be wonderful. ,5
34,"Sub title should be corrected. Since I'm not that good in English but I know when there're mis-traslated or wrong sub title. If you fix this problems , I thin it helps many students a lot. Thanks!!!!!",5
35,"The course covers a lot of material, but in a kind-of chaotic manner. There is a lot of math, so if you're not familiar with linear algebra you may find it really difficult. Personally, I don't quite understand the approach. The goal of this course seems to be to teach people how the algorithms work, and if so - there is just enough math, for the students to get lost, but not enough of it to truly understand what's going on internally in the algorithms. ",3
36,It would be ideal course if instead of octave pyhon or r is used,5
37,"This course has of course (pun intended) built a formidable reputation for itself since it was laucnhed. I took the course in 2019 when it had been around for a few years and so what I am saying here may resonate with a lot of people who have taken the course before me. ""Concretely""(!), Prof Ng takes the student on a very well structured journey that covers the vast canvas of ML, explaining not just the theoretical aspects but also laying equal empahsis on the pratical aspets like debugging or choosing the right approach to solving a ML problem or deciding what to do first / next. At that level this course is highly recomended by me as the first course in ML that anyone should take. I do have a suggestion to make regarding how some of the portions could have been explained more lucidly. These are portions that pertain entirely to the mathematics and programming problems, where I struggled for days and (for back propogation) for months before realising that maybe the explanation given in the slide wasn't clear enough and at times i just needed to try really random ideas to get out of the programmin rut that I was stuck in. An advise for anyone doing the course would be to write down the matrices in full detail and do the transformations of cost fucntion and gradient descent or back prop using pen and paper and attempt to write the code for it only after once one is clear about the exact mathematical operation happening. Thank you, Prof Ng for gifting this course to the online learners community and I would also like to thank the mentors who have replied to the queries patiently while stadfastly enforcing the honour code.",4
38,"Everything is taught from basics, which makes this course very accessible- still requires effort, however will leave you with real confidence and understanding of subjects covered. Great teacher too..",5
39,The course is ok but the certification procedure is a mess!,1
40,"I just started week 3 , I have to admit that It is a good course explaining the ideas and hypnosis of machine learning . The instructor takes your hand step by step and explain the idea very very well.",1
41,"You need to know, what do you want to get out of this course. It gives you a lot of information, but be prepared to work hard with linear algeabra and make efforts to compute things in Mathlab/Octave. ",5
42,"Everything is great about this course. Dr. Ng dumbs is it down with the complex math involved. He explained everything clearly, slowly and softly. Now I can say I know something about Machine Learning",5
43,"My first and the most beautiful course on Machine learning. To all those thinking of getting in ML, Start you learning with the must-have course. Thanks Andrew Ng and Coursera for this amazing course.",5
44,Very helpful and easy to learn. The quiz and programming assignments are well designed and very useful. Thank Prof. Andrew Ng and coursera and the ones who share their problems and ideas in the forum.,5
45,"Fantastic intro to the fundamentals of machine learning. If you want to take your understanding of machine learning concepts beyond ""model.fit(X, Y), model.predict(X)"" then this is the course for you.",5
46,Andrew Ng is a great teacher.,5
47,This course is one of the most valuable courses I have ever done. Thank you very much to the teacher and to all those who have made it possible! I will recommend it to all those who may be interested.,5
48,Exceptionally complete and outstanding summary of main learning algorithms used currently and globally in software industry. Professor with great charisma as well as patient and clear in his teaching.,5
49,"Great overview, enough details to have a good understanding of why the techniques work well. Especially appreciated the practical advice regarding debugging, algorithm evaluation and ceiling analysis.",5
50,"Very good coverage of different supervised and unsupervised algorithms, and lots of practical insights around implementation. All the explanations provided helped to understand the concepts very well. ",5
51,This is the best course I have ever taken. Andrew is a very good teacher and he makes even the most difficult things understandable.,5
52,It's a good introduction - not too complicated and covers a wide range of topics. The programming exercises are well put together and significantly help understanding. The free Matlab license is nice.,5
53,"One of the best course at Coursera, the content are very well versed, assignments and quiz are quite challenging and good, Andrew is one of the best guide we could have in our side.",5
54,Very well structured and delivered course. Progressive introduction of concepts and intuitive description by Andrew really give a sense of understanding even for the more complex area of the training.,5
55,Amazing course. It gets deep into the content and now I feel I know at least the basics of Machine Learning. This is definitely going to help me on my job! Thanks Andrew and the mentors of the course!,5
56,This course is amazing and covers most of the ML algorithms. I really liked that this course has emphasized math behind each technique which helps to choose the best algorithm while solving a problem.,5
57,"good course; just 2 suggestions: improve the skew data part (week 6) and furnish the formula to evaluate the number of iteration in the window from image dimension, window dimension and step (week 11)",5
58,"Great teaching style , Presentation is lucid, Assignments are at right difficulty level for the beginners to get an under the hood understanding without getting bogged down by the superfluous details. ",5
59,"However good the material and lectures may be, the use of an outdated version of Octave (which is not Mac-friendly and exceedingly brittle, to the extent where the supplied code requires manual patching in Windows and Linux) is a complete turn-off and makes it nearly impossible to complete the assignments on time unless you're prepared to spend at least twice as much time debugging your setup as doing the actual assignments.",1
60,"Perfect foundational overview of the topic with challenging exercises, at least for someone who left university over 20 years ago and has since then not done much with his skills in Linear Algebra ;-)",5
61,Amazing course for people looking to understand few important aspects of machine learning in terms of linear algebra and how the algorithms work! Definitely will help me in my future modelling efforts,5
62,"Very nicely explained the mathematical topics, even for people like me with some phobia regarding large formulas. Useful hands-on experience with MATLAB coding, which I would have had to learn anyway.",5
63,Explained well but I was not able to implement  it on exercise.,4
64,If this course was in python or R it would have been easier to understand. Octave/MATLAB is not that widely used.,3
65,This course could be a nice introduction and overview of the Machine Learning field.,2
66,"Level of difficulty of lectures is not correspond with level of quizzes. In lectures they are talking about simple stuff and then in quizzes they ask you about details they didn't mentioned. You could deducts this information though. But this is exactly the main problem with this course - for quizzes you should deduct and learn by yourself so much stuff, that videos start to be not worth your time.",2
67,This course is absolute garbage.  You get no feedback on your quizzes or assignments and the professor is one of the most boring I've ever seen. It's absurdly frustrating to repeatedly fail without any feedback as to why you're failing. ,1
68,I‘m a Chinese post-graduate student of Computer Sciense. This class is very useful to me because of it's amazing course videos and the well-designed programming exercises. It is really lucky to have this opportunity to find the course and to finish it. This class will be a footstone for further studying in AI field for anyone who just get started.,5
69,This course is extremely helpful and understandable for engineers and researchers in the CS field. Many thanks to the prof. Ng Yew Kwang for his great course as well as supporters in the course forum.,5
70,An amazing skills of teaching and very well structured course for people start to learn to the machine learning. The assignments are very good for understanding the practical side of machine learning.,5
71,Have to give a star so I will give it one.  Others rate this course highly. I don't know why.,1
72,"Perhaps the greatest instructor and the greatest course, I enjoyed it so much I had continued to do it in between my exams and looking forward fto start or deeplearning,ai specialization in a few days ",5
73,"Course content was awesome, gave me lot of insights. If assignments were in Python, it would have helped a lot to improve my skills. Anyways I would recommend this course to a beginner who wants to understand the logic behind the machine learning process. Thank You AndrewNg Sir!!!",4
74,"Fairly good videos explaining the material, probably worth 4 starts.  However, the written support material should be improved.  IMHO the video should supplement the written material, i.e. it should be possible to learn the material only by reading.  This is not the case, so frequent pausing of videos and making lots of notes is needed if one wants to commit this course to long-term memory.",2
75,"Overall, this is a great course and I learned an enormous amount of information.  The biggest issue I had was the disconnect between the course and the assignments/quizzes.  Although they had help sections, because you couldn't ask direct questions about the algorithms/quizzes, if you had a problem, you were basically on your own. (At least that is what it felt like.)  For example, if you missed a quiz question and couldn't figure out the answer, there seemed little recourse to find the actual answer.  In a couple cases, I decided to just take the 80% on a quiz simply because I had no idea what the answer was.",5
76,"My first open online course from Stanford University gave me a lot of energy. As my student years are far behind me (I am 76 years old) it was a discovery to become enthusiast in this new area. And building on my career in ICT, this is a surprising extension on the way systems can help us to develop a better life. Professor Ng is very good in offering in a controlled way many insights in the machine learning - now it is time for me to apply my new knowledge!",5
77,"Too many trainings and assignments without enough practice, exercise and examples. This can be very confusing for a person taking the course for the first time.",1
78,"Exceptional. Best course to start learning Machine Learning! Only one grouse though, the exercises are in Matlab and not in python.",5
79,"Very nice course,. Give a fundamental knowledge of machine learning in a clear, logic and easy-to-understand way. Suitable for those who has relatively weak background of math and statistics to learn. ",5
80,"The course will give you the incites to understand the data driven mathematical functions to write softwares that can behave or change its behavior, based on stimulus (data).",5
81,"Very good instruction for machine learning, and also very very good for new comers!!!",5
82,It was a great learning experience. All the lectures were in details.  ,5
83,It was a very helpful course.,5
84,Good Course,5
85,It would be nice if it's taught in either python or R. So I do need to take extra effort to learn octave. ,4
86,This is a very basic course on Machine Learning. The main drawbacks are:  ,2
87,I would rename this course as Programming Octave with Application to Machine Learning rather that Machine Learning. Once you start the course you will have to focus on Octave rather than on ML topics if you want to do programming exercises. There is no degree of freedom in programming. You are provided with a lot of weird Octave codes which you will have to complete instead of writing yourself from scratch. More than 50% of my time was spent in order to learn Octave and understand (guess!!!!) Octave codes. ,1
88,"Been asked to re-take all assignments *after* paying for a certificate! I wil never pay for a Coursera course again, and I would not recommend my friends to do so",1
89,"There's one saying in Chinese that says ""一日為師，終身為師"" which means once being someone's  teacher, even just one day, you're the teacher for the rest of his life. Thank you for all your efforts and I really appreciate it. I'll keep working on Machine Learning and hopefully one day I can do the same contribution to the human society as you did.",5
90,"Explanation was very good and assignment helps us to understand the real picture. The way course is planned along with octave exercise, Graphs and visualization of data (X,Y) is very good. Very good course who is starting the Machine learning from scratch.    ",5
91,This course is a very applicable. Professor Ng explains precisely each algorithm and even tries to give an intuition for mathematical and statistic concepts behind each algorithm. Thank you very much.,5
92,This is a great way to get an introduction to the main machine learning models. The professor is very didactic and the material is good too. I recommend it to everyone beginning to learn this science.,5
93,"This is course just awesome. You get everything you wanted from this course. It covers on all topics in detail, helps in getting confidence in learning all the techiques and ideas in machine learning.",5
94,So much like it. It gave me starting push in this interesting topic. And one important thing that after this course I figured out I need to continue dive into machine learning.,5
95,Excellent Machine Learning Lessons which need little advanced knowledge of mathematics.,5
96,Too easy and too slow,2
97,"The course is more an exercise in flexing Ivy vernacular than it is actually teaching. The learning curve is too steep to be useful to the majority of potential registrants. You're interested in this course either to (a) learn something about an exciting and ever changing field and/or (b) to have the Stanford logo on your LinkedIn profile. In both cases, move on. The curve is far too steep to be useful or to merit the countless additional hours of background learning the course should have done to bridge the gap.  ",1
98,There are too many mistakes and misleading statements made in the course material. There were a lot difficulties with submitting assignments in order to move forward in the course. I had to give up because I don't have time to be bogged down like this.,1
99,"The exercises lead you to the edge of a cliff, then push you off. No guidance. Good luck if you don't already know linear algebra, matrix math, and matlab. I'll be looking elsewhere to learn about Machine Learning. Glad I didn't pay for this course! ",1
100,I would not recommend taking this course any more. (2018),1
101,"The course is well organised, with cutting edge knowledge ready to use in our information era. And Andrew was really decent with clear illustration and explanations. I really enjoy taking this course!",5
102,THIS IS A REVIEW FOR BEGINNERS,4
103,"If it was in python, then it would have got 5 star from me.",4
104,"It is a good course that covers essential topics related to Machine learning. But unfortunately, the quality of videos and sound are not satisfying. Besides, there are lots of mistakes in videos, notations, and even in programming assignments. It is time-consuming to check Errata for each week to find out which part has mistakes!! It is even got worse when I was in the middle of a programming assignment and I confused by the WRONG algorithms in the question and notation in the videos. In programming assignment 4, it took a week when I finally realized my mistake occurred because of the wrong algorithm in the videos and the assignment. I found out these problems confused all the students and its evidence is the comments in the forums and responses form mentors.",2
105,"В
 требованиях к прохождению курса необходимо указать ""владение университетским курсом высшей математики"" и ""математический английский"" - без него тут нечего 
делать, поскольку текстовка на русском языке не совпадает с тем, что говорит лектор ни по смыслу, ни, начиная со второй недели, по времени.

",1
106,"The course may be great, but the sound of the video is really terrible, this is a big problem for me and possibly to other users, at the point where I decided to stop watching.",1
107,This course is definitely not for beginners. ,1
108,I really enjoyed this course. I learned new exciting techniques. I think the major positive point of this course was its simple and understandable teaching method. Thanks a lot to professor Andrew Ng.,5
109,so useful,5
110,"This course was very difficult, coming from a non-math/matlab background, but did teach me a heck ton about the world of machine learning, for which I am eternally grateful. Life got in the way big time, and it took a lot of time and energy to complete the programming exercises. There was also a lot I didn't understand, and I did wish there was maybe another week of getting used to certain concepts, particularly maths issues like double summing. I appreciate that this would complicate things though. I found that I am not geared towards the forums - my learning style involves conversation and not really experimenting on my own (which I can do once I understand a concept). As helpful as the mentors were, only relying on the forums with my time schedule meant that that taking this course dragged on longer than I would have liked. I also got a bit overwhelmed by the lack of centralised information. I know that it would require a complete overhaul to sort such out, but it did make looking up information time-consuming. Nevertheless, I am grateful for all that I learnt, and appreciate that I plunged into the deep end. I don't understand everything, and of course a little knowledge is a dangerous thing, but I know enough to know what to refer to should I ever need ML in my next job. Thank you. ",3
111,Excellent lessons by Prof. Andrew Ng.,3
112,The course didn't convince me at all. Practice and applications in real life are in short supply. I missed the art and pedagogy of Trainer.,1
113,Huge amounts of assumed understanding make this course impenetrable.,1
114,"The BEST course I ever had in my life, even better than a typical classroom based interactive teaching.",5
115,"Amazing course. I had no idea of programming and my maths were more than rusted, but the way the lessons are taught, made the way a whole lot easier. If you're like me (zero programing and maths), it's no easy task to complete the course. But if you put the right amount of effort, patience and dedication, combined with the great videos and reference material, is totally doable. ",5
116,"Truly an exceptional class. Not often will someone with a deep proficiency in a discipline have the time or incentive to share their insights and teach to others; this class is a rare exception, and given the vital importance of machine learning to the future, I have a great appreciation and debt to Andrew Ng. ",5
117,"Great class! Should be recommended for every individual who wants to learn machine learning and don't have time or oppotunity to take a class at their own univerisity, this class is a guidance for the basis of machine learning and gives me instructions where to go next. Thank Ng really much.",5
118,This course was very well taught. There was a impressive focus on the basics and fundamentals of each topic. The lecture slides encapsulates the topics well and thus there was no such need of making my own notes which speeded up the learning process ;).,5
119,One of the best online courses I have attended in a decade. Thank you to Coursera for making this course available. I cannot express my gratitude enough to professor Andrew Ng for this awesome course!,5
120,sehr gut!,5
121,"This was a great course, and I highly recommend it! Andrew Ng made me feel like he's my machine learning pal. I can see why this course is so popular.",4
122,"I like the course very much. One point where it could be improved are the assignments: it is really nice to be guided and to have a big part of the programming prepared but the drawback is that many times I didn't feel in control of what was happening. For example, that was hard to know basic features of the implementation (is this data a row vector? a column vector?) since I didn't decide it. This leads me to spend quite some time on trying to fix simple problems. In short, I wish I had felt more ""empowered"" during the assignments. ",4
123,"Good introduction course, giving an overview of machine learning algorithms and some methodology. Off course a lot can be added, but it's a good start for people with little to no knowledge or experience in this field. A few points that could be improved: I would like to have better material support for each section. Marked-up slides are not a great support for reviewing the different sections afterwards.",3
124,"I don't know why people have overated  this course. I have attended other courses and they never skip the topics and jump to other. 1) The voice of Mr Andrew is horrible, its extremely low, and not consistent at all which is really very annoying, we have to look at the subtitles and rewind back and see actually what we explained on the screen. 2) The way he explains is really not good, I really have to re-run the lectures again and again to understand, as he jumps and don't explain why this/that happened. Everytime we have to search the forum for answers. Really not happy with the course. ",3
125,The course is not for people with not mathematical backgrounds plus its using matlab.. these days R and Python are more used in the industry for ML. I found to this course via friends that said it's hard but very recommended.. i think there are easier courses online that can deliver the same concepts ,2
126,Certificate is expensive!,2
127,"The test questions don't match the lecture material. It seemed that the tests were written by another person. Also tests contain errors, because according to the lecture material, answer should be correct, but by marking it the system tell me that it's incorrect.",1
128,"i got stuck in one quiz i thought that maybe it was just me, i tried it a second time and got it wrong again.",1
129,"Poor audio and video quality, what compromises the learning process",1
130,The course content is vastly outdated and superficial. ,1
131,"Before I go into why I liked this course so much, let me give a little context on my motivation to taking it. My background is a Bachelors in Math, and 9 years working in finance in a role involving very little computer science or statistics. I wanted a change of industries into the world of Data, for which a significant amount of learning and retraining were necessary; however before just enrolling on and committing to a masters degree, I wanted to answer some questions. Do I enjoy this? Am I able to learn it? Do I want to take this field a step further? Fortunately, the answer to all of my questions was positive. ",5
132,"To set some context: I am a graduate (PhD) in Computer Engineering from the University of Texas at Austin with over 10 years of experience in both academia and industry.  My goal in taking this course was to learn the basics of Machine Learning, and understand what the current excitement about ML and AI is all about.  I dedicated 3-4 hours every week, over the last 12 weeks, towards learning this course — and watched all the videos, reviewed all the lecture .pdfs and completed all the project assignments and all quizzes in the course on time. ",5
133,Extraordinary course for beginners (as well as for people with experience)!,5
134,"Before starting this course, I had no previous knowledge of machine learning and I had never programmed in Octave and I have little/no programming skills. This is a 11-week course and so I was not sure if I would make it to the end (or even get through the first week) but I was keen to learn something new. ",5
135,"This is a terrific class!  The Course is well structured in terms of videos, invideo pop-up quizzes, course notes, programming exercises, and the discussion boards & mentor community.  The 11 weeks includes 8 programming exercises, with usually 5-6 ""code submittals"" per exercise. ",5
136,"I would definitely recommend this course! I was very impressed by the quality of the lectures. Professor Ng uses the medium very well. He's easy to follow and the content is solid.The assignments were also good. They provide a ton of scaffolding, so you rarely have to write a lot of code, but if you never used Matlab before (like me) and it's been awhile since you've taken linear algebra (also true for me), then ""thinking in terms of vectorization"" takes a bit of getting used to. I'm really happy that I've been exposed to it, though, and it's pretty impressive how much computation you can express in one or two lines of Matlab.I only had to use the forums once at the beginning to figure out why I couldn't submit assignments. (It turned out that my version of Octave was too new for what the assignments had been tested with.) Once I got that sorted out, I never had to go back there for help, which I thought was a good sign that the assignments were clear and had been through sufficient testing by the staff.It's certainly a bit of a time commitment. I would probably budget at least 5 hours per week. I took a lot of notes, so I paused/rewound the videos a bunch, so it took longer for me to ""watch"" the videos than the advertised time.Again, the assignments were often not that much code, and I think they started to take me less time as I progressed through the course as I got more familiar with Octave and the style of the assignments. They aren't there to trick you or separate the wheat from the chaff: they're really there to reinforce the concepts from lecture and have you write some code yourself so you have some chance of writing your own code for your own project machine learning project one day.If anything, the assignments provide much more help than I expected. That is, if this were an in-person course where I could go to office hours or whatever if I got stuck, I would expect the assignments to provide less scaffolding and to force you to struggle quite a bit on your own more. (Maybe I just have bad flashbacks to undergrad or something.)",5
137,"Really a great course. It covered a large variety of currently popular machine learning algorithms, along with strategies to do machine learning projects. Professor Andrew really goes deep into how to optimize a machine learning model to reduce bias and improve performance with a lot of techniques, not just simply implement a fancy machine learning algorithm. At first, I complained about programming assignments because it is done in Matlab, but after I went through some of them I really discovered that Matlab is a powerful tool used for a broad range of purposes. The course goes beyond just model.fit(x,y) and model.predict(x,y), because you'll learn the essence and mathematical proof of each ML algorithm to really comprehend how each algorithm work and how optimization work. You can still learn to build ML models in python even by yourself after this course. ",5
138,"I knew nothing about Machine learning when I started this course. I am going to start a job where I have to verify hardware for machine learning and I wanted to understand the vocabulary of machine learning better before beginning this new job. I got that from this course and a lot more! I liked the balance of mathematics, modeling and hardware aspects of this course. A key aspect of this course that elevates it is how Andrew always emphasizes evaluating the model / algorithm with real number outputs and not just plug ahead at full speed. ",5
139,"This have been a very good and comprehensive introduction to Machine Learning, IMHO. It have given me the all basic introduction to ML that I could have hoped for. (I'm a senior practitioner of many forms of mathematical modelling and programming, as a former Astrophysics Phd.)",5
140,"Professor Ng is a great teacher, his course is both challenging and satisfying.  The exercises require you to take one step beyond the lecture -- not just parrot back the transcript -- you have to think about the implications of what you've just studied.  Yet Ng's presentations are lucid and informative and that next step is obvious, once you think about it.  ",5
141,This course is an intro-level course for Machine Learning which mainly focus on the implementation of those algorithms. It doesn't mention much math behind which makes it suitable for people even have no previous knowledge in related area. But make sure you have at least basic knowledge about linear algebra and calculus. You won't need those for the exercises but would help you better understand the course.,5
142,"This is the first course I ever took on Machine Learning. I have a good background in linear algebra. Therefore, Mathematical aspects of the course was not a big challenge for me. At the same time, Professor Ng explains the ideas behind each ML algorithm in an easily comprehensible manner. It is easy to follow his videos except the sound quality. I would strongly recommend that they improve sound quality.",5
143,"It's so wonderful that it can't be explained by the words and at the same time i am very sad that Ng sir has left us . i just love Ng sir , He is so wonderful person and teacher that can't be explained by the words .It's quite bit a big dream but   i am dreaming of some day in the future where i am working with Ng sir on some machine learning problem and he is guiding me as he is doing now . I just love the course and also the mentors Mr. Neil Ostrove and Mr. Tom he had helped us to complete this course and assignment and also solved my useless something baby problems more carefully and i will help other student as guided by Ng sir in completing this course smoothely . and that's all . at the last i want to tell I just fall in love with Ng sir and coursera and the team . i have a big dream of meeting that my favourite Ng sir on some day.     ",5
144,"Thank you Professor Ng for taking the time to produce such a phenomenal course. As mystifying as machine learning can appear to be, your well-paced and digestible teaching style gave me the opportunity to understand. With fantastic lectures, mid-video quizzes, end of topic quizzes, and programming assignments, you as a student are given all the resources you need to absorb the material.",5
145,"I've tried DataCamp and recently take my first course in Coursera. The difference is huge and important if anyone wish to learn more about ML or DS. This course does not focus much on 'just coding' the answer. It aims to teach you the logic, basic maths behind ML algorithms. ",5
146,"As a non-CS student, I really have learned a lot from this course, which does not only cover several typical algorithms, but also a lot of important concepts in ML. It can be told from all these lecture videos that Prof. Ng has put a great effort in this course - he is not just reading the pre-prepared materials; instead he has sincerely shared a lot of his experiences in industry and pointed out the typical pitfalls that a lot of ML engineers have fallen in. This really inspires me and lets me develop a lot of awareness to avoid similar mistakes in the future.",5
147,"Excellent introduction class to ML! Prof Ng provides clear explanations always and makes Machine Learning simple.  I have learned to go with the flow of the videos, not worrying when I was not understanding some parts knowing that a clear explanation would be provided in the following minutes.  Although this course is not interactive, Prof. Ng communicates well with his passion, and always ""responds"" to my questions in the videos. The quiz and exercises are very well thought of, really testing that we learn the essential and got a good feeling for the concepts.",5
148,"Excellent course for a depp introduction to machine learning. The professor Andrew NG has a special way to explain complicated themes in a very simple and understandable way. In the main videos of this course is more intuition than deep math and statistical demonstrations, but if you eager to understand issues more deeply like me you will find in the ""resources"" area of the course links to the documentation and the lecture videos of the machine learning course given in Stanford, there you could find the math and statistical demonstrations, also a bunch more algorithms to learn. Also you will find links to refresh your calculus, linear algebra and statistical skills if needed and links to data repositories to practice your new skills.",5
149,"Mr. Andrew Ng has mastery on Machine Learning. His method of teching is precise and lucid, often engaging us to think more on untouched aspects of ML. This was my first course and first step (a baby step) on any platform to understand and learn ML . Lucky to have enrolled for this amazing course and I sincerely thank him for being instructor on this subject and also tons of thanks to mentors who clear doubts in discussion forums. It helped a lot. Lastly , I think this course has clearly set my path towards advanced studies in ML.  Although, statistics and some of the terms did bounce off my head few times, I hope to revisit and work on them more in future. Thankyou Andrew Ng Sir !   I am your fan now !!!  :)",5
150,"I so appreciate it from COURSERA and DR ANDREW NG for this unbelievable course. It was definitely one of the best courses I've ever seen in my whole 20-year life. I'm from Iran and I have really restricted rules for having access to such courses. I'm so glad to have this opportunity to attend a class with a professor from Stanford University. I'm not good at English very well but I don't know why I feel that at the end of the class Prof NG was kind of sad from ending the course and I was nearly to cry seeing him like this. here I'm gonna promise this for the first time, I promise to spend my whole life to do what Prof NG did for me in this course, to help others. Thank you so very much. ",5
151,"After finishing the course, I feel much more confident in pursuing more advanced machine learning. The course teaches everything intuitively and in detail but maybe it could use some improvement to achieve perfection. It would be better if the course could provide pointers to some of the topics beyond the scope of the course such as the derivation of the back propagation, svm, pca, etc. Because often times when you search for derivations they might not be very useful for your levels, if course could provide some good references as some lecture notes after the video would be great for the students to gain even more solid groundings of the things behind the hood",5
